#citation: # EELS Atlas. EELS.info. Retrieved June 22, 2026, from https://eels.info/atlas

atomic_number,symbol,element,edge_label,edge_energy_eV
1,H,Hydrogen,major,14
2,He,Helium,major,25
3,Li,Lithium,major,55
4,Be,Beryllium,major,111
5,B,Boron,major,188
6,C,Carbon,major,284
7,N,Nitrogen,major,402
8,O,Oxygen,major,532
8,O,Oxygen,minor,24
9,F,Fluorine,major,685
9,F,Fluorine,minor,31
10,Ne,Neon,major,867
10,Ne,Neon,major,18
10,Ne,Neon,minor,45
11,Na,Sodium,major,1072
11,Na,Sodium,major,31
11,Na,Sodium,minor,63
12,Mg,Magnesium,major,1305
12,Mg,Magnesium,major,51
12,Mg,Magnesium,minor,89
13,Al,Aluminum,major,1560
13,Al,Aluminum,major,73
13,Al,Aluminum,minor,118
14,Si,Silicon,major,1839
14,Si,Silicon,major,99
14,Si,Silicon,minor,149
15,P,Phosphorus,major,2146
15,P,Phosphorus,major,132
15,P,Phosphorus,minor,189
16,S,Sulfur,major,2472
16,S,Sulfur,major,165
16,S,Sulfur,minor,229
17,Cl,Chlorine,major,2822
17,Cl,Chlorine,major,202
17,Cl,Chlorine,major,200
17,Cl,Chlorine,minor,270
17,Cl,Chlorine,minor,18
18,Ar,Argon,major,3203
18,Ar,Argon,major,247
18,Ar,Argon,major,245
18,Ar,Argon,major,12
18,Ar,Argon,minor,320
18,Ar,Argon,minor,25
19,K,Potassium,major,3607
19,K,Potassium,major,296
19,K,Potassium,major,294
19,K,Potassium,major,18
19,K,Potassium,minor,377
19,K,Potassium,minor,34
20,Ca,Calcium,major,4038
20,Ca,Calcium,major,350
20,Ca,Calcium,major,346
20,Ca,Calcium,major,25
20,Ca,Calcium,minor,438
20,Ca,Calcium,minor,44
21,Sc,Scandium,major,4493
21,Sc,Scandium,major,407
21,Sc,Scandium,major,402
21,Sc,Scandium,major,32
21,Sc,Scandium,minor,501
21,Sc,Scandium,minor,54
22,Ti,Titanium,major,4966
22,Ti,Titanium,major,462
22,Ti,Titanium,major,456
22,Ti,Titanium,major,35
22,Ti,Titanium,minor,564
22,Ti,Titanium,minor,60
23,V,Vanadium,major,5465
23,V,Vanadium,major,521
23,V,Vanadium,major,513
23,V,Vanadium,major,38
23,V,Vanadium,minor,628
23,V,Vanadium,minor,67
24,Cr,Chromium,major,5989
24,Cr,Chromium,major,584
24,Cr,Chromium,major,575
24,Cr,Chromium,major,43
24,Cr,Chromium,minor,695
24,Cr,Chromium,minor,74
25,Mn,Manganese,major,6539
25,Mn,Manganese,major,651
25,Mn,Manganese,major,640
25,Mn,Manganese,major,49
25,Mn,Manganese,minor,769
25,Mn,Manganese,minor,84
26,Fe,Iron,major,7112
26,Fe,Iron,major,721
26,Fe,Iron,major,708
26,Fe,Iron,major,54
26,Fe,Iron,minor,846
26,Fe,Iron,minor,93
27,Co,Cobalt,major,7709
27,Co,Cobalt,major,794
27,Co,Cobalt,major,779
27,Co,Cobalt,major,60
27,Co,Cobalt,minor,926
27,Co,Cobalt,minor,101
28,Ni,Nickel,major,8333
28,Ni,Nickel,major,872
28,Ni,Nickel,major,855
28,Ni,Nickel,major,68
28,Ni,Nickel,minor,1008
28,Ni,Nickel,minor,112
29,Cu,Copper,major,8979
29,Cu,Copper,major,951
29,Cu,Copper,major,931
29,Cu,Copper,major,74
29,Cu,Copper,minor,1097
29,Cu,Copper,minor,120
30,Zn,Zinc,major,9659
30,Zn,Zinc,major,1043
30,Zn,Zinc,major,1020
30,Zn,Zinc,minor,1194
30,Zn,Zinc,minor,136
30,Zn,Zinc,minor,87
31,Ga,Gallium,major,10367
31,Ga,Gallium,major,1142
31,Ga,Gallium,major,1115
31,Ga,Gallium,minor,1298
