# citation: Williams, G. P. (2009). Electron binding energies. In X-Ray Data Booklet (Table 1-1). Center for X-Ray Optics, Lawrence Berkeley National Laboratory. https://xdb.lbl.gov/Section1/Table_1-1.p

energy_eV,atomic_number,element,line,relative_intensity,weight
2633.7,47,Ag,Ll,4,0.021053
2978.2,47,Ag,La2,11,0.057895
2984.3,47,Ag,La1,100,0.526316
3150.9,47,Ag,Lb1,56,0.294737
3347.8,47,Ag,"Lb2,15",13,0.068421
3519.6,47,Ag,Lg1,6,0.031579
21990.3,47,Ag,Ka2,53,0.291209
22162.9,47,Ag,Ka1,100,0.549451
24911.5,47,Ag,Kb3,9,0.049451
24942.4,47,Ag,Kb1,16,0.087912
25456.4,47,Ag,Kb2,4,0.021978
1486.3,13,Al,Ka2,50,0.331126
1486.7,13,Al,Ka1,100,0.662252
1557.4,13,Al,Kb1,1,0.006623
2955.6,18,Ar,Ka2,50,0.3125
2957.7,18,Ar,Ka1,100,0.625
3190.5,18,Ar,"Kb1,3",10,0.0625
1120,33,As,Ll,6,0.033898
1282,33,As,"La1,2",111,0.627119
1317,33,As,Lb1,60,0.338983
10508,33,As,Ka2,51,0.298246
10543.7,33,As,Ka1,100,0.584795
11720.3,33,As,Kb3,6,0.035088
11726.2,33,As,Kb1,13,0.076023
11864,33,As,Kb2,1,0.005848
2122.9,79,Au,Ma1,100,1
8493.9,79,Au,Ll,5,0.022831
9628,79,Au,La2,11,0.050228
9713.3,79,Au,La1,100,0.456621
11442.3,79,Au,Lb1,67,0.305936
11584.7,79,Au,Lb2,23,0.105023
13381.7,79,Au,Lg1,13,0.059361
66989.5,79,Au,Ka2,59,0.292079
68803.7,79,Au,Ka1,100,0.49505
77580,79,Au,Kb3,12,0.059406
77984,79,Au,Kb1,23,0.113861
80150,79,Au,Kb2,8,0.039604
183.3,5,B,"Ka1,2",151,1
3954.1,56,Ba,Ll,4,0.019608
4450.9,56,Ba,La2,11,0.053922
4466.3,56,Ba,La1,100,0.490196
4827.5,56,Ba,Lb1,60,0.294118
5156.5,56,Ba,"Lb2,15",20,0.098039
5531.1,56,Ba,Lg1,9,0.044118
31817.1,56,Ba,Ka2,54,0.287234
32193.6,56,Ba,Ka1,100,0.531915
36304,56,Ba,Kb3,10,0.053191
36378.2,56,Ba,Kb1,18,0.095745
37257,56,Ba,Kb2,6,0.031915
108.5,4,Be,"Ka1,2",150,1
2422.6,83,Bi,Ma1,100,1
9420.4,83,Bi,Ll,6,0.026906
10730.9,83,Bi,La2,11,0.049327
10838.8,83,Bi,La1,100,0.44843
12979.9,83,Bi,Lb2,25,0.112108
13023.5,83,Bi,Lb1,67,0.300448
15247.7,83,Bi,Lg1,14,0.06278
74814.8,83,Bi,Ka2,60,0.294118
77107.9,83,Bi,Ka1,100,0.490196
86834,83,Bi,Kb3,12,0.058824
87343,83,Bi,Kb1,23,0.112745
89830,83,Bi,Kb2,9,0.044118
1293.5,35,Br,Ll,5,0.028571
1480.4,35,Br,"La1,2",111,0.634286
1525.9,35,Br,Lb1,59,0.337143
11877.6,35,Br,Ka2,52,0.298851
11924.2,35,Br,Ka1,100,0.574713
13284.5,35,Br,Kb3,7,0.04023
13291.4,35,Br,Kb1,14,0.08046
13469.5,35,Br,Kb2,1,0.005747
277,6,C,"Ka1,2",147,1
3688.1,20,Ca,Ka2,50,0.306748
3691.7,20,Ca,Ka1,100,0.613497
4012.7,20,Ca,"Kb1,3",13,0.079755
2767.4,48,Cd,Ll,4,0.020619
3126.9,48,Cd,La2,11,0.056701
3133.7,48,Cd,La1,100,0.515464
3316.6,48,Cd,Lb1,58,0.298969
3528.1,48,Cd,"Lb2,15",15,0.07732
3716.9,48,Cd,Lg1,6,0.030928
22984.1,48,Cd,Ka2,53,0.289617
23173.6,48,Cd,Ka1,100,0.546448
26061.2,48,Cd,Kb3,9,0.04918
26095.5,48,Cd,Kb1,17,0.092896
26643.8,48,Cd,Kb2,4,0.021858
883,58,Ce,Ma1,100,1
4287.5,58,Ce,Ll,4,0.019417
4823,58,Ce,La2,11,0.053398
4840.2,58,Ce,La1,100,0.485437
5262.2,58,Ce,Lb1,61,0.296117
5613.4,58,Ce,"Lb2,15",21,0.101942
6052,58,Ce,Lg1,9,0.043689
34278.9,58,Ce,Ka2,55,0.289474
34719.7,58,Ce,Ka1,100,0.526316
39170.1,58,Ce,Kb3,10,0.052632
39257.3,58,Ce,Kb1,19,0.1
40233,58,Ce,Kb2,6,0.031579
2620.8,17,Cl,Ka2,50,0.320513
2622.4,17,Cl,Ka1,100,0.641026
2815.6,17,Cl,Kb1,6,0.038462
677.8,27,Co,Ll,10,0.050761
776.2,27,Co,"La1,2",111,0.563452
791.4,27,Co,Lb1,76,0.385787
6915.3,27,Co,Ka2,51,0.303571
6930.3,27,Co,Ka1,100,0.595238
7649.4,27,Co,"Kb1,3",17,0.10119
500.3,24,Cr,Ll,17,0.082126
572.8,24,Cr,"La1,2",111,0.536232
582.8,24,Cr,Lb1,79,0.381643
